[0] UID: uid-0 | TYPE: attributes | TAG: BUTTON button | ATTR: class | 'button' → 'button is-adding' | Visible text: "Quick add"
[1] UID: uid-0 | TYPE: attributes | TAG: BUTTON button | ATTR: data-uid | added | Visible text: "Quick add"
[2] UID: uid-1 | TYPE: attributes | TAG: DIV popover-content | ATTR: hidden | added | Visible text: "The reviews, images and testimonials available on this website are provided by independent users and..."
[3] UID: uid-2 | TYPE: attributes | TAG: BUTTON popover-button | ATTR: aria-expanded | remains 'false' | Visible text: "More info"
[4] UID: uid-1 | TYPE: attributes | TAG: DIV popover-content | ATTR: data-uid | added | Visible text: "The reviews, images and testimonials available on this website are provided by independent users and..."
[5] UID: uid-2 | TYPE: attributes | TAG: BUTTON popover-button | ATTR: data-uid | added | Visible text: "More info"
[6] UID: uid-3 | TYPE: attributes | TAG: DIV modal | ATTR: data-modal-id | added | Visible text: "387 reviews  Apple Cider Vinegar Gummies  Enhanced with B-Vitamins  One-time purchase $19 Subscribe ..."
[7] UID: uid-3 | TYPE: attributes | TAG: DIV modal | ATTR: data-modal-type | added | Visible text: "387 reviews  Apple Cider Vinegar Gummies  Enhanced with B-Vitamins  One-time purchase $19 Subscribe ..."
[8] UID: uid-4 | TYPE: childList | TAG: DIV modal-body | ATTR: N/A | added | Visible text: "387 reviews  Apple Cider Vinegar Gummies  Enhanced with B-Vitamins  One-time purchase $19 Subscribe ..."
[9] UID: uid-3 | TYPE: attributes | TAG: DIV modal | ATTR: data-uid | added | Visible text: "387 reviews  Apple Cider Vinegar Gummies  Enhanced with B-Vitamins  One-time purchase $19 Subscribe ..."
[10] UID: uid-4 | TYPE: attributes | TAG: DIV modal-body | ATTR: data-uid | added | Visible text: "387 reviews  Apple Cider Vinegar Gummies  Enhanced with B-Vitamins  One-time purchase $19 Subscribe ..."
[11] UID: uid-0 | TYPE: attributes | TAG: BUTTON button | ATTR: class | 'button is-adding' → 'button' | Visible text: "Quick add"
[12] UID: uid-5 | TYPE: attributes | TAG: DIV  | ATTR: data-current-variant | remains '33189405622360' | Visible text: "387 reviews  Apple Cider Vinegar Gummies  Enhanced with B-Vitamins  One-time purchase $19 Subscribe ..."
[13] UID: uid-3 | TYPE: attributes | TAG: DIV modal | ATTR: style | added | Visible text: "387 reviews  Apple Cider Vinegar Gummies  Enhanced with B-Vitamins  One-time purchase $19 Subscribe ..."
[14] UID: uid-3 | TYPE: attributes | TAG: DIV modal | ATTR: aria-hidden | 'true' → 'false' | Visible text: "387 reviews  Apple Cider Vinegar Gummies  Enhanced with B-Vitamins  One-time purchase $19 Subscribe ..."
[15] UID: uid-5 | TYPE: attributes | TAG: DIV  | ATTR: data-uid | added | Visible text: "387 reviews  Apple Cider Vinegar Gummies  Enhanced with B-Vitamins  One-time purchase $19 Subscribe ..."
